District,State/UT,Population Age 15+ (%),Population Age 45+ (%),Women Overweight or Obese (%) [BMI>=25.0],Men Overweight or Obese (%) [BMI>=25.0],Women Underweight (%) [BMI<18.5],Men Underweight (%) [BMI<18.5],Women Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Men Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Women High Glucose [BG>140mg/dl OR medicated],Men High Glucose [BG>140mg/dl OR medicated],Women Substantially Increased Risk of Metabolic Complications (%) [waist>88cm],Men Substantially Increased Risk of Metabolic Complications (%) [waist>102cm],TB Prevalence (%),Population in Highest Wealth Quintile (%),Households with Health Insurance / Financing Scheme Coverage (%)
Sagar ,Madhya Pradesh,74,22.25,16.6,15.6,23,20.8,25.3,26.4,9.8,12.2,10.5,2.4,0.121,15.1,27.5
Damoh ,Madhya Pradesh,73.08,21.57,16.6,15.6,23,20.8,22.6,21.4,9.8,12.2,10.5,2.4,0.121,15.1,21.6
Satna ,Madhya Pradesh,72.75,20.97,16.6,15.6,23,20.8,16.2,16.3,9.8,12.2,10.5,2.4,0.121,15.1,22
Rewa ,Madhya Pradesh,72.68,20.73,16.6,15.6,23,20.8,17.6,20.1,9.8,12.2,10.5,2.4,0.121,15.1,29.4
Umaria ,Madhya Pradesh,72.69,20.74,16.6,15.6,23,20.8,20.9,22.1,9.8,12.2,10.5,2.4,0.121,15.1,19.9
Neemuch ,Madhya Pradesh,75.42,23.85,16.6,15.6,23,20.8,26,28.5,9.8,12.2,10.5,2.4,0.121,15.1,43.3
Mandsaur ,Madhya Pradesh,75.14,23.54,16.6,15.6,23,20.8,29.6,36.2,9.8,12.2,10.5,2.4,0.121,15.1,48.4
Ratlam ,Madhya Pradesh,75.16,23.23,16.6,15.6,23,20.8,21.3,24,9.8,12.2,10.5,2.4,0.121,15.1,37.9
Ujjain ,Madhya Pradesh,75.89,24.08,16.6,15.6,23,20.8,23.3,25,9.8,12.2,10.5,2.4,0.121,15.1,35.7
Dewas ,Madhya Pradesh,74.6,22.58,16.6,15.6,23,20.8,24.4,28.6,9.8,12.2,10.5,2.4,0.121,15.1,35.1
Dhar ,Madhya Pradesh,72.97,20.95,16.6,15.6,23,20.8,19.9,19.8,9.8,12.2,10.5,2.4,0.121,15.1,30.3
Indore ,Madhya Pradesh,77.06,23.77,16.6,15.6,23,20.8,20.7,21.3,9.8,12.2,10.5,2.4,0.121,15.1,40.3
Khargone (West Nimar) ,Madhya Pradesh,72.91,20.78,16.6,15.6,23,20.8,21.2,24.9,9.8,12.2,10.5,2.4,0.121,15.1,43.7
Barwani ,Madhya Pradesh,71.24,19.46,16.6,15.6,23,20.8,21.1,25,9.8,12.2,10.5,2.4,0.121,15.1,29.2
Rajgarh ,Madhya Pradesh,74.13,22.21,16.6,15.6,23,20.8,24.4,24,9.8,12.2,10.5,2.4,0.121,15.1,27.1
Vidisha ,Madhya Pradesh,73.8,21.84,16.6,15.6,23,20.8,17.2,18.1,9.8,12.2,10.5,2.4,0.121,15.1,48.2
Bhopal ,Madhya Pradesh,77.63,23.82,16.6,15.6,23,20.8,22.4,24.9,9.8,12.2,10.5,2.4,0.121,15.1,50.7
Sehore ,Madhya Pradesh,73.78,21.72,16.6,15.6,23,20.8,26,26.6,9.8,12.2,10.5,2.4,0.121,15.1,33.2
Raisen ,Madhya Pradesh,73.14,21.13,16.6,15.6,23,20.8,19,21.2,9.8,12.2,10.5,2.4,0.121,15.1,41
Betul ,Madhya Pradesh,74.88,23,16.6,15.6,23,20.8,17.8,21.6,9.8,12.2,10.5,2.4,0.121,15.1,51.3
Harda ,Madhya Pradesh,74.22,22.21,16.6,15.6,23,20.8,21.7,20.9,9.8,12.2,10.5,2.4,0.121,15.1,33.3
Hoshangabad ,Madhya Pradesh,74.87,22.95,16.6,15.6,23,20.8,24,29.9,9.8,12.2,10.5,2.4,0.121,15.1,28.6
Katni ,Madhya Pradesh,74.13,21.96,16.6,15.6,23,20.8,18.5,20.8,9.8,12.2,10.5,2.4,0.121,15.1,18.1
Jabalpur ,Madhya Pradesh,76.32,23.89,16.6,15.6,23,20.8,22.7,20.1,9.8,12.2,10.5,2.4,0.121,15.1,61.2
Narsimhapur ,Madhya Pradesh,74.57,22.75,16.6,15.6,23,20.8,23.2,24.4,9.8,12.2,10.5,2.4,0.121,15.1,49.4
Dindori ,Madhya Pradesh,72.84,20.97,16.6,15.6,23,20.8,25.2,27.7,9.8,12.2,10.5,2.4,0.121,15.1,47.2
Mandla ,Madhya Pradesh,73.18,21.28,16.6,15.6,23,20.8,24.9,30.4,9.8,12.2,10.5,2.4,0.121,15.1,42.6
Chhindwara ,Madhya Pradesh,75.44,23.63,16.6,15.6,23,20.8,21.7,22.6,9.8,12.2,10.5,2.4,0.121,15.1,48.5
Seoni ,Madhya Pradesh,74.45,22.61,16.6,15.6,23,20.8,21.1,25.7,9.8,12.2,10.5,2.4,0.121,15.1,44.6
Balaghat ,Madhya Pradesh,76.13,24.28,16.6,15.6,23,20.8,22.3,21.9,9.8,12.2,10.5,2.4,0.121,15.1,68.4
Guna ,Madhya Pradesh,73.49,21.43,16.6,15.6,23,20.8,17,18.2,9.8,12.2,10.5,2.4,0.121,15.1,43.1
Ashoknagar ,Madhya Pradesh,74.05,21.73,16.6,15.6,23,20.8,16.3,19.8,9.8,12.2,10.5,2.4,0.121,15.1,34.2
Shahdol ,Madhya Pradesh,72.84,20.84,16.6,15.6,23,20.8,19.8,23.2,9.8,12.2,10.5,2.4,0.121,15.1,58.4
Anuppur ,Madhya Pradesh,73.05,21.03,16.6,15.6,23,20.8,24.3,26.4,9.8,12.2,10.5,2.4,0.121,15.1,52.8
Sidhi ,Madhya Pradesh,71.69,19.92,16.6,15.6,23,20.8,17.5,26,9.8,12.2,10.5,2.4,0.121,15.1,26.1
Singrauli ,Madhya Pradesh,71.86,19.86,16.6,15.6,23,20.8,18.9,25.9,9.8,12.2,10.5,2.4,0.121,15.1,58.5
Jhabua ,Madhya Pradesh,70.92,19.23,16.6,15.6,23,20.8,23.5,23.7,9.8,12.2,10.5,2.4,0.121,15.1,43.7
Alirajpur ,Madhya Pradesh,69.58,18.52,16.6,15.6,23,20.8,22,27.7,9.8,12.2,10.5,2.4,0.121,15.1,42.5
Khandwa (East Nimar) ,Madhya Pradesh,73.53,21.49,16.6,15.6,23,20.8,21.3,17.6,9.8,12.2,10.5,2.4,0.121,15.1,38.1
Burhanpur ,Madhya Pradesh,74.37,21.76,16.6,15.6,23,20.8,13.9,15.9,9.8,12.2,10.5,2.4,0.121,15.1,42.2
Agar Malwa ,Madhya Pradesh,74.36,22.42,16.6,15.6,23,20.8,21.2,25.2,9.8,12.2,10.5,2.4,0.121,15.1,58.9
Shajapur ,Madhya Pradesh,74.36,22.42,16.6,15.6,23,20.8,23.3,26.1,9.8,12.2,10.5,2.4,0.121,15.1,34.3
Nandurbar ,Maharashtra,72.19,20.08,23.5,24.7,23,20.8,23.5,24.6,9.8,12.2,10.5,2.4,0.121,15.1,15.3
Dhule ,Maharashtra,74.24,22.06,23.5,24.7,20.8,16.2,21.4,25.1,12.4,13.6,18.1,4.4,0.136,26.1,19.8
Jalgaon ,Maharashtra,75.29,23.54,23.5,24.7,20.8,16.2,20.7,24.4,12.4,13.6,18.1,4.4,0.136,26.1,11.9
Buldana ,Maharashtra,74.96,22.84,23.5,24.7,20.8,16.2,20.1,20.5,12.4,13.6,18.1,4.4,0.136,26.1,37.9
Akola ,Maharashtra,75.83,23.47,23.5,24.7,20.8,16.2,19.4,19.1,12.4,13.6,18.1,4.4,0.136,26.1,40.1
Washim ,Maharashtra,74.69,22.49,23.5,24.7,20.8,16.2,21.9,21,12.4,13.6,18.1,4.4,0.136,26.1,24.1
Amravati ,Maharashtra,76.24,24.04,23.5,24.7,20.8,16.2,19.8,18.7,12.4,13.6,18.1,4.4,0.136,26.1,31.9
Wardha ,Maharashtra,77.3,25.26,23.5,24.7,20.8,16.2,17.1,14,12.4,13.6,18.1,4.4,0.136,26.1,27.1
Nagpur ,Maharashtra,78.89,25.96,23.5,24.7,20.8,16.2,21.3,18.3,12.4,13.6,18.1,4.4,0.136,26.1,25.6
Bhandara ,Maharashtra,76.79,24.78,23.5,24.7,20.8,16.2,21.8,19.3,12.4,13.6,18.1,4.4,0.136,26.1,30
Gondiya ,Maharashtra,77.1,24.95,23.5,24.7,20.8,16.2,21.8,18.9,12.4,13.6,18.1,4.4,0.136,26.1,30.6
Gadchiroli ,Maharashtra,75.14,22.56,23.5,24.7,20.8,16.2,17,17.2,12.4,13.6,18.1,4.4,0.136,26.1,33.3
Chandrapur ,Maharashtra,76.73,24.49,23.5,24.7,20.8,16.2,20.7,20.6,12.4,13.6,18.1,4.4,0.136,26.1,28.9
Yavatmal ,Maharashtra,75.76,23.64,23.5,24.7,20.8,16.2,17.2,18.2,12.4,13.6,18.1,4.4,0.136,26.1,29
Nanded ,Maharashtra,74.84,22.59,23.5,24.7,20.8,16.2,16.7,17.3,12.4,13.6,18.1,4.4,0.136,26.1,15.7
Hingoli ,Maharashtra,74.12,22.01,23.5,24.7,20.8,16.2,17.4,17.4,12.4,13.6,18.1,4.4,0.136,26.1,14.7
Parbhani ,Maharashtra,74.22,22.05,23.5,24.7,20.8,16.2,21,21.6,12.4,13.6,18.1,4.4,0.136,26.1,10.5
Jalna ,Maharashtra,74.38,22.18,23.5,24.7,20.8,16.2,21.8,24.8,12.4,13.6,18.1,4.4,0.136,26.1,9.7
Aurangabad ,Maharashtra,76.01,23.45,23.5,24.7,20.8,16.2,20.8,20.9,12.4,13.6,18.1,4.4,0.136,26.1,12.4
Nashik ,Maharashtra,76.79,24.21,23.5,24.7,20.8,16.2,22.5,26.1,12.4,13.6,18.1,4.4,0.136,26.1,14.7
Mumbai Suburban ,Maharashtra,81.42,26.47,23.5,24.7,20.8,16.2,26.6,28,12.4,13.6,18.1,4.4,0.136,26.1,20.2
Mumbai ,Maharashtra,81.42,26.47,23.5,24.7,20.8,16.2,21,23.3,12.4,13.6,18.1,4.4,0.136,26.1,30.7
Raigarh ,Maharashtra,78.43,25.13,23.5,24.7,20.8,16.2,24.8,26.4,12.4,13.6,18.1,4.4,0.136,26.1,26.3
Pune ,Maharashtra,79.52,25.86,23.5,24.7,20.8,16.2,22.4,25.8,12.4,13.6,18.1,4.4,0.136,26.1,14.4
Ahmadnagar ,Maharashtra,76.51,23.86,23.5,24.7,20.8,16.2,23.6,25.3,12.4,13.6,18.1,4.4,0.136,26.1,12
Bid ,Maharashtra,74.41,22.11,23.5,24.7,20.8,16.2,26.4,24.1,12.4,13.6,18.1,4.4,0.136,26.1,9.3
Latur ,Maharashtra,74.81,22.62,23.5,24.7,20.8,16.2,18.6,19.6,12.4,13.6,18.1,4.4,0.136,26.1,33.6
Osmanabad ,Maharashtra,75.05,22.95,23.5,24.7,20.8,16.2,23.5,26.2,12.4,13.6,18.1,4.4,0.136,26.1,14.8
Solapur ,Maharashtra,75.69,23.88,23.5,24.7,20.8,16.2,25.7,26.2,12.4,13.6,18.1,4.4,0.136,26.1,20.5
Satara ,Maharashtra,76.84,25.68,23.5,24.7,20.8,16.2,27.2,29.8,12.4,13.6,18.1,4.4,0.136,26.1,11.4
Ratnagiri ,Maharashtra,76.88,27.18,23.5,24.7,20.8,16.2,32.4,33.9,12.4,13.6,18.1,4.4,0.136,26.1,16.6
Sindhudurg ,Maharashtra,78.07,29.13,23.5,24.7,20.8,16.2,36.6,37.9,12.4,13.6,18.1,4.4,0.136,26.1,13.2
Kolhapur ,Maharashtra,77.1,25.59,23.5,24.7,20.8,16.2,31,33.2,12.4,13.6,18.1,4.4,0.136,26.1,16.5
Sangli ,Maharashtra,76.62,25.16,23.5,24.7,20.8,16.2,30.1,32,12.4,13.6,18.1,4.4,0.136,26.1,12.3
Palghar ,Maharashtra,76.43,21.61,23.5,24.7,20.8,16.2,23.4,22.4,12.4,13.6,18.1,4.4,0.136,26.1,18.8
Thane ,Maharashtra,79.37,23.89,23.5,24.7,20.8,16.2,24.5,29.7,12.4,13.6,18.1,4.4,0.136,26.1,22.7
Senapati ,Manipur,71.07,18.06,34.1,30.3,20.8,16.2,18.7,28.2,12.4,13.6,18.1,4.4,0.136,26.1,15.4
Tamenglong ,Manipur,70.93,17.91,34.1,30.3,7.2,8,21.5,29.4,13.6,16.5,25.8,2.2,0.427,17.2,16.8
Churachandpur ,Manipur,72.47,19.22,34.1,30.3,7.2,8,16.3,25.2,13.6,16.5,25.8,2.2,0.427,17.2,18.2
Bishnupur ,Manipur,75.04,22.03,34.1,30.3,7.2,8,23.6,31.3,13.6,16.5,25.8,2.2,0.427,17.2,9.3
Thoubal ,Manipur,73.83,20.89,34.1,30.3,7.2,8,23.2,33.4,13.6,16.5,25.8,2.2,0.427,17.2,19.1
Imphal West ,Manipur,77.41,23.89,34.1,30.3,7.2,8,27.5,38.4,13.6,16.5,25.8,2.2,0.427,17.2,15.7
Imphal East ,Manipur,76.51,22.99,34.1,30.3,7.2,8,21.9,36,13.6,16.5,25.8,2.2,0.427,17.2,7
Ukhrul ,Manipur,73.54,20.35,34.1,30.3,7.2,8,22.3,25,13.6,16.5,25.8,2.2,0.427,17.2,17
Chandel ,Manipur,72.03,18.66,34.1,30.3,7.2,8,21.7,28.2,13.6,16.5,25.8,2.2,0.427,17.2,16.1
South Garo Hills ,Meghalaya,69.95,18.17,11.5,13.9,7.2,8,15.8,22.8,13.6,16.5,25.8,2.2,0.427,17.2,79.5
Ribhoi ,Meghalaya,72.58,20.25,11.5,13.9,10.8,9,13.5,16,9.2,13.9,7.8,1.8,0.63,42.8,66.8
East Khasi Hills ,Meghalaya,75.87,22.86,11.5,13.9,10.8,9,24.5,25,9.2,13.9,7.8,1.8,0.63,42.8,47.1
East Garo Hills ,Meghalaya,70.94,18.73,11.5,13.9,10.8,9,15.3,23.2,9.2,13.9,7.8,1.8,0.63,42.8,71.9
East Jantia Hills ,Meghalaya,71.36,19.16,11.5,13.9,10.8,9,18.7,17.2,9.2,13.9,7.8,1.8,0.63,42.8,74.1
North Garo Hills ,Meghalaya,71.02,18.82,11.5,13.9,10.8,9,20,25.4,9.2,13.9,7.8,1.8,0.63,42.8,60.8
South West Garo Hills ,Meghalaya,70.19,18.42,11.5,13.9,10.8,9,13.6,20,9.2,13.9,7.8,1.8,0.63,42.8,75.1
South West Khasi Hills ,Meghalaya,72.03,19.53,11.5,13.9,10.8,9,18.5,19,9.2,13.9,7.8,1.8,0.63,42.8,72.3
West Garo Hills ,Meghalaya,71.49,19.38,11.5,13.9,10.8,9,17.4,24.7,9.2,13.9,7.8,1.8,0.63,42.8,77.9
West Jaintia Hills ,Meghalaya,72.16,19.86,11.5,13.9,10.8,9,18,15.5,9.2,13.9,7.8,1.8,0.63,42.8,65.6
West Khasi Hills ,Meghalaya,72.03,19.53,11.5,13.9,10.8,9,16,16.4,9.2,13.9,7.8,1.8,0.63,42.8,60.1
Chandel ,Mizoram,72.03,18.66,24.2,32.1,10.8,9,21.7,28.2,9.2,13.9,7.8,1.8,0.63,42.8,16.1
Mamit ,Mizoram,73.23,19.98,24.2,32.1,5.3,5.1,14.3,21,13.8,15.4,13.6,0,0.638,24.8,61.7
Kolasib ,Mizoram,74.41,21.27,24.2,32.1,5.3,5.1,16.5,24.3,13.8,15.4,13.6,0,0.638,24.8,61.1
Aizawl ,Mizoram,78.23,24.49,24.2,32.1,5.3,5.1,23.4,33.6,13.8,15.4,13.6,0,0.638,24.8,37.5
Champhai ,Mizoram,75.83,22.38,24.2,32.1,5.3,5.1,16.1,19.6,13.8,15.4,13.6,0,0.638,24.8,64.9
Serchhip ,Mizoram,76.43,23.01,24.2,32.1,5.3,5.1,11.6,17.7,13.8,15.4,13.6,0,0.638,24.8,58.8
Lunglei ,Mizoram,75.24,22.05,24.2,32.1,5.3,5.1,13.9,20,13.8,15.4,13.6,0,0.638,24.8,46.5
Lawngtlai ,Mizoram,70.52,18.52,24.2,32.1,5.3,5.1,13,20.3,13.8,15.4,13.6,0,0.638,24.8,31.3
Mon ,Nagaland,70.07,18.39,17.1,23.1,5.3,5.1,20.4,35.7,13.8,15.4,13.6,0,0.638,24.8,39.3
Mokokchung ,Nagaland,74.28,22.38,17.1,23.1,11.1,7.5,23.2,28.9,9.3,12.4,8,0.6,0.675,9,22.3
Zunheboto ,Nagaland,72.29,19.96,17.1,23.1,11.1,7.5,33.2,41.2,9.3,12.4,8,0.6,0.675,9,18.1
Wokha ,Nagaland,74.07,21.43,17.1,23.1,11.1,7.5,24.3,35.7,9.3,12.4,8,0.6,0.675,9,20.6
Dimapur ,Nagaland,75.83,21.94,17.1,23.1,11.1,7.5,18.6,20.8,9.3,12.4,8,0.6,0.675,9,5.7
Phek ,Nagaland,72.93,20.08,17.1,23.1,11.1,7.5,25.9,33.8,9.3,12.4,8,0.6,0.675,9,24.9
Tuensang ,Nagaland,69.83,17.85,17.1,23.1,11.1,7.5,20.4,24.3,9.3,12.4,8,0.6,0.675,9,22
Longleng ,Nagaland,69.17,17.58,17.1,23.1,11.1,7.5,22.6,30,9.3,12.4,8,0.6,0.675,9,38.3
Kiphire ,Nagaland,71.02,18.89,17.1,23.1,11.1,7.5,15.3,22,9.3,12.4,8,0.6,0.675,9,8.8
Kohima ,Nagaland,75.87,22.95,17.1,23.1,11.1,7.5,25.7,31.1,9.3,12.4,8,0.6,0.675,9,26.7
Peren ,Nagaland,72.23,19.53,17.1,23.1,11.1,7.5,19.8,27.7,9.3,12.4,8,0.6,0.675,9,5.4
Central Delhi,Delhi,80.11,28.61,41.1,38,11.1,7.5,26.5,41.5,9.3,12.4,8,0.6,0.675,9,22.6
East Delhi,Delhi,79.52,26.47,41.1,38,10,9.1,25.8,33.8,12.2,14.1,35.9,9.8,0.15,67.7,30.7
New Delhi ,Delhi,81.42,26.47,41.1,38,10,9.1,25.8,33.8,12.2,14.1,35.9,9.8,0.15,67.7,25.2
North Delhi,Delhi,78.22,25.29,41.1,38,10,9.1,21.3,32.9,12.2,14.1,35.9,9.8,0.15,67.7,18.1
North East Delhi,Delhi,78.43,24.97,41.1,38,10,9.1,27.2,37,12.2,14.1,35.9,9.8,0.15,67.7,19.4
North West Delhi,Delhi,79.03,25.21,41.1,38,10,9.1,24.1,29.9,12.2,14.1,35.9,9.8,0.15,67.7,28.2
Shahdara ,Delhi,78.73,25.07,41.1,38,10,9.1,26.1,35,12.2,14.1,35.9,9.8,0.15,67.7,21.5
South Delhi,Delhi,80.31,27.13,41.1,38,10,9.1,22.3,30.4,12.2,14.1,35.9,9.8,0.15,67.7,28.7
South East Delhi,Delhi,79.72,26.69,41.1,38,10,9.1,23.7,27.8,12.2,14.1,35.9,9.8,0.15,67.7,24.5
South West Delhi,Delhi,79.32,25.96,41.1,38,10,9.1,19.5,26.5,12.2,14.1,35.9,9.8,0.15,67.7,37.7
West Delhi,Delhi,79.91,26.83,41.1,38,10,9.1,23.8,34.1,12.2,14.1,35.9,9.8,0.15,67.7,21
Bargarh ,Odisha,75.29,24.23,23,22.2,10,9.1,22.6,24.3,12.2,14.1,35.9,9.8,0.15,67.7,45.5
Jharsuguda ,Odisha,77.01,24.96,23,22.2,20.8,15.3,20.4,25.3,14,17,20.4,3.4,0.242,8.7,37.7
Sambalpur ,Odisha,76.33,24.47,23,22.2,20.8,15.3,22.2,24.5,14,17,20.4,3.4,0.242,8.7,49.3
Debagarh ,Odisha,74.45,22.84,23,22.2,20.8,15.3,20.1,27.5,14,17,20.4,3.4,0.242,8.7,57.5
Sundargarh ,Odisha,75.27,23.36,23,22.2,20.8,15.3,21.1,25.3,14,17,20.4,3.4,0.242,8.7,39.3
Kendujhar ,Odisha,73.61,22.18,23,22.2,20.8,15.3,24.1,25.1,14,17,20.4,3.4,0.242,8.7,43.3
Mayurbhanj ,Odisha,73.49,22.25,23,22.2,20.8,15.3,26.1,28.8,14,17,20.4,3.4,0.242,8.7,46.5
Baleshwar ,Odisha,75.31,23.94,23,22.2,20.8,15.3,22.9,29.5,14,17,20.4,3.4,0.242,8.7,40.6
Bhadrak ,Odisha,74.45,22.75,23,22.2,20.8,15.3,21.7,26.1,14,17,20.4,3.4,0.242,8.7,44.9
Kendrapara ,Odisha,74.79,23.23,23,22.2,20.8,15.3,21.9,24.8,14,17,20.4,3.4,0.242,8.7,50
Jagatsinghapur ,Odisha,75.46,23.98,23,22.2,20.8,15.3,26.2,30.2,14,17,20.4,3.4,0.242,8.7,56.8
Cuttack ,Odisha,76.32,24.78,23,22.2,20.8,15.3,22.7,27.1,14,17,20.4,3.4,0.242,8.7,42.3
Jajapur ,Odisha,74.47,22.69,23,22.2,20.8,15.3,23.8,28,14,17,20.4,3.4,0.242,8.7,53.9
Dhenkanal ,Odisha,75.12,23.63,23,22.2,20.8,15.3,25.3,26,14,17,20.4,3.4,0.242,8.7,55.2
Anugul ,Odisha,75.49,23.84,23,22.2,20.8,15.3,18.9,21.1,14,17,20.4,3.4,0.242,8.7,63.1
Nayagarh ,Odisha,74.73,23.33,23,22.2,20.8,15.3,22,18.8,14,17,20.4,3.4,0.242,8.7,49.3
Khordha ,Odisha,78.21,25.68,23,22.2,20.8,15.3,20.2,25.1,14,17,20.4,3.4,0.242,8.7,43.2
Puri ,Odisha,76.62,25.13,23,22.2,20.8,15.3,20.8,23.3,14,17,20.4,3.4,0.242,8.7,61.5
Ganjam ,Odisha,76.24,25.14,23,22.2,20.8,15.3,23.4,29.7,14,17,20.4,3.4,0.242,8.7,51.9
Gajapati ,Odisha,75.31,24.28,23,22.2,20.8,15.3,19.7,24.9,14,17,20.4,3.4,0.242,8.7,39.6
Kandhamal ,Odisha,73.08,21.73,23,22.2,20.8,15.3,24.4,24.8,14,17,20.4,3.4,0.242,8.7,54.5
Baudh ,Odisha,74.37,22.68,23,22.2,20.8,15.3,20.9,24,14,17,20.4,3.4,0.242,8.7,44.7
Subarnapur ,Odisha,75.16,23.47,23,22.2,20.8,15.3,22.4,20.5,14,17,20.4,3.4,0.242,8.7,45.8
Balangir ,Odisha,74.67,22.97,23,22.2,20.8,15.3,20.1,24.4,14,17,20.4,3.4,0.242,8.7,44
Nuapada ,Odisha,73.42,21.61,23,22.2,20.8,15.3,21.4,23.6,14,17,20.4,3.4,0.242,8.7,45.3
Kalahandi ,Odisha,73.61,22.01,23,22.2,20.8,15.3,26.4,26.2,14,17,20.4,3.4,0.242,8.7,48.6
Rayagada ,Odisha,73.42,21.77,23,22.2,20.8,15.3,19.5,25.1,14,17,20.4,3.4,0.242,8.7,45.5
Nabarangapur ,Odisha,71.74,19.86,23,22.2,20.8,15.3,20.8,22.6,14,17,20.4,3.4,0.242,8.7,48.4
Koraput ,Odisha,72.26,20.15,23,22.2,20.8,15.3,21.1,24.5,14,17,20.4,3.4,0.242,8.7,54.6
Malkangiri ,Odisha,70.93,19.16,23,22.2,20.8,15.3,17.1,20.7,14,17,20.4,3.4,0.242,8.7,47
Yanam ,Puducherry,79.31,24.62,46.3,37.1,20.8,15.3,32.2,33.3,14,17,20.4,3.4,0.242,8.7,29.2
Puducherry ,Puducherry,79.82,27.1,46.3,37.1,9,11.1,22.7,31.1,20.1,21.7,40.6,11.1,0.292,45.7,31.3
Mahe ,Puducherry,80.52,30.34,46.3,37.1,9,11.1,33.3,37.7,20.1,21.7,40.6,11.1,0.292,45.7,23.6
Karaikal ,Puducherry,78.53,26.54,46.3,37.1,9,11.1,20.5,24.4,20.1,21.7,40.6,11.1,0.292,45.7,26.9
Kapurthala ,Punjab,75.92,23.51,28.3,32.4,9,11.1,32.3,36.2,20.1,21.7,40.6,11.1,0.292,45.7,20.7
Jalandhar ,Punjab,76.81,24.47,28.3,32.4,12.7,12.5,32.5,37.5,14.7,14.1,42.8,10,0.134,60.6,25.9
Hoshiarpur ,Punjab,76.27,24.73,28.3,32.4,12.7,12.5,35.9,43,14.7,14.1,42.8,10,0.134,60.6,27.7
Shahid Bhagat Singh Nagar ,Punjab,76.13,24.23,28.3,32.4,12.7,12.5,32.7,42.8,14.7,14.1,42.8,10,0.134,60.6,23.3
Fatehgarh Sahib ,Punjab,76.18,23.82,28.3,32.4,12.7,12.5,31.8,35.1,14.7,14.1,42.8,10,0.134,60.6,35.1
Ludhiana ,Punjab,77.58,24.81,28.3,32.4,12.7,12.5,26.3,32.2,14.7,14.1,42.8,10,0.134,60.6,25.2
Moga ,Punjab,75.49,23.23,28.3,32.4,12.7,12.5,31.2,35.3,14.7,14.1,42.8,10,0.134,60.6,23.7
Muktsar ,Punjab,75.21,22.83,28.3,32.4,12.7,12.5,24.4,32,14.7,14.1,42.8,10,0.134,60.6,23.9
Faridkot ,Punjab,75.76,23.42,28.3,32.4,12.7,12.5,26.1,35.4,14.7,14.1,42.8,10,0.134,60.6,20.4
Bathinda ,Punjab,75.28,22.85,28.3,32.4,12.7,12.5,32.2,45.1,14.7,14.1,42.8,10,0.134,60.6,20.1
Mansa ,Punjab,74.55,22.23,28.3,32.4,12.7,12.5,30.2,42.2,14.7,14.1,42.8,10,0.134,60.6,18.4
Patiala ,Punjab,76.54,24.38,28.3,32.4,12.7,12.5,28.7,34.3,14.7,14.1,42.8,10,0.134,60.6,33.8
Amritsar ,Punjab,76.31,24.42,28.3,32.4,12.7,12.5,35.9,43,14.7,14.1,42.8,10,0.134,60.6,26.2
Tarn Taran ,Punjab,75.24,22.96,28.3,32.4,12.7,12.5,31.1,36.1,14.7,14.1,42.8,10,0.134,60.6,25
Rupnagar ,Punjab,76.1,23.94,28.3,32.4,12.7,12.5,27.2,31.9,14.7,14.1,42.8,10,0.134,60.6,37.8
Sahibzada Ajit Singh Nagar ,Punjab,78.13,24.96,28.3,32.4,12.7,12.5,27.7,34,14.7,14.1,42.8,10,0.134,60.6,31
Sangrur ,Punjab,75.87,23.23,28.3,32.4,12.7,12.5,32.9,41.8,14.7,14.1,42.8,10,0.134,60.6,18.7
Barnala ,Punjab,75.58,23.24,28.3,32.4,12.7,12.5,32.8,40,14.7,14.1,42.8,10,0.134,60.6,20.7
Fazilka ,Punjab,75.29,22.68,28.3,32.4,12.7,12.5,27.9,36.2,14.7,14.1,42.8,10,0.134,60.6,20.6
Firozpur ,Punjab,75.29,22.68,28.3,32.4,12.7,12.5,29.7,33.9,14.7,14.1,42.8,10,0.134,60.6,21
Gurdaspur ,Punjab,76.15,24.08,28.3,32.4,12.7,12.5,36.8,39.2,14.7,14.1,42.8,10,0.134,60.6,23.5
Pathankot ,Punjab,76.15,24.08,28.3,32.4,12.7,12.5,33,32.5,14.7,14.1,42.8,10,0.134,60.6,27
Ganganagar ,Rajasthan,74.96,22.56,20.8,15,12.7,12.5,16.2,18.3,14.7,14.1,42.8,10,0.134,60.6,85.3
Hanumangarh ,Rajasthan,74.45,22.24,20.8,15,19.6,14,20,22.6,7.2,8.9,12,2,0.215,21.6,89
Bikaner ,Rajasthan,75.29,22.99,20.8,15,19.6,14,12,11.8,7.2,8.9,12,2,0.215,21.6,87.4
Churu ,Rajasthan,74.98,22.89,20.8,15,19.6,14,21.2,25.4,7.2,8.9,12,2,0.215,21.6,81.9
Jhunjhunun ,Rajasthan,75.73,23.43,20.8,15,19.6,14,20.7,25.6,7.2,8.9,12,2,0.215,21.6,86.1
Alwar ,Rajasthan,73.89,21.79,20.8,15,19.6,14,20.3,25.8,7.2,8.9,12,2,0.215,21.6,80.8
Bharatpur ,Rajasthan,73.34,21.23,20.8,15,19.6,14,19.1,23.6,7.2,8.9,12,2,0.215,21.6,84.8
Dhaulpur ,Rajasthan,72.26,20.47,20.8,15,19.6,14,13.4,15.1,7.2,8.9,12,2,0.215,21.6,89
Karauli ,Rajasthan,71.95,20.08,20.8,15,19.6,14,10.6,13.2,7.2,8.9,12,2,0.215,21.6,86.4
